company_name,industry,website,telephone,fax,address,address_maplink,email_all
Imatech AG,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,http://www.imatech.ch/,tel:071 755 80 70,fax:071 755 80 71,"Tieflöchliweg 2
9463 Oberriet SG",https://www.google.com/maps/place/Tiefl%C3%B6chliweg%202+9463+Oberriet%20SG,info@imatech.ch
Ruedi Rüssel Tankstelle,Detailhandel mit Motorenkraftstoffen (Tankstellen),NA,NA,NA,"St.Jakobs-Strasse 16
4132 Muttenz",https://www.google.com/maps/place/St.Jakobs-Strasse%2016+4132+Muttenz,website not accessible
Immobilien Treuhand Naef,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.immobilien-naef.ch/,tel:041 871 14 43,NA,"Allmendstrasse 7
6460 Altdorf UR",https://www.google.com/maps/place/Allmendstrasse%207+6460+Altdorf%20UR,bad link
BAU - ART Projekte GmbH,Architekturbüros,http://bauart-projekte.ch/,NA,NA,"Werkstrasse 4
6102 Malters",https://www.google.com/maps/place/Werkstrasse%204+6102+Malters,NA
Catech GmbH,Grosshandel mit sonstigen Maschinen und Ausrüstungen,http://www.ca-tech.ch/,tel:081 850 36 36,fax:081 858 54 04,"Scheschna 294
7530 Zernez",https://www.google.com/maps/place/Scheschna%20294+7530+Zernez,NA
Laube SA,"Holzbau, Zimmerei",http://www.laube-sa.ch/,tel:091 873 95 95,fax:091 873 95 00,"via Chiasso
6710 Biasca",https://www.google.com/maps/place/via%20Chiasso+6710+Biasca,info@laube-sa.ch
Lift-Ex AG,Vermietung von Baumaschinen und -geräten,http://www.liftex.ch/,tel:044 801 80 40,fax:044 801 80 41,"Geissbüelstrasse 20
8604 Volketswil",https://www.google.com/maps/place/Geissb%C3%BCelstrasse%2020+8604+Volketswil,info@liftex.ch
Carrosserie H.Leuenberger AG,Reparatur und Lackieren von Carrosserien,http://www.carleu.ch/,tel:031 921 02 95,fax:031 921 71 67,"Worblentalstrasse 97
3063 Ittigen",https://www.google.com/maps/place/Worblentalstrasse%2097+3063+Ittigen,info@carleu.ch
MERIT Holding AG,Andere Holdinggesellschaften,http://www.meritholding.ch/,tel:043 333 13 36,NA,"Juchstrasse 1
8604 Volketswil",https://www.google.com/maps/place/Juchstrasse%201+8604+Volketswil,NA
Garage Jean-Pierre Bussard SA,lnstandhaltung und Reparatur von Automobilen,NA,tel:026 912 31 05,NA,"Rue de la Gare-du Sud 11
1627 Vaulruz",https://www.google.com/maps/place/Rue%20de%20la%20Gare-du%20Sud%2011+1627+Vaulruz,website not accessible
Séchy Schweisstechnik AG,Grosshandel mit Werkzeugmaschinen,http://www.sechy.ch/,tel:043 399 10 10,fax:043 399 10 11,"Stationsstrasse 79
8606 Nänikon",https://www.google.com/maps/place/Stationsstrasse%2079+8606+N%C3%A4nikon,info@sechy.ch
Adiuva Treuhand GmbH,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,http://www.adiuva-treuhand.ch/,tel:052 202 19 65,NA,"Merkurstrasse 25
8400 Winterthur",https://www.google.com/maps/place/Merkurstrasse%2025+8400+Winterthur,bad link
Ammann Erlebnisreisen GmbH,Nicht-regelmässiger Personenbeförderung im Landverkehr,http://www.ammann-erlebnisreisen.ch/,tel:043 444 07 08,NA,"Hohmattrainstrasse 20
8173 Neerach",https://www.google.com/maps/place/Hohmattrainstrasse%2020+8173+Neerach,info@ammann-erlebnisreisen.ch
Tanner & Bosshardt AG,Offsetdruck,NA,tel:061 272 67 17,NA,"Austrasse 102a
4051 Basel",https://www.google.com/maps/place/Austrasse%20102a+4051+Basel,website not accessible
Thomas Kern,Malerei,NA,NA,fax:032 645 04 21,"Schmiedenweg 3
4528 Zuchwil",https://www.google.com/maps/place/Schmiedenweg%203+4528+Zuchwil,website not accessible
Restaurant Ländte,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",NA,tel:033 243 15 53,fax:033 243 15 57,"Schoren 17
3653 Oberhofen am Thunersee",https://www.google.com/maps/place/Schoren%2017+3653+Oberhofen%20am%20Thunersee,website not accessible
Scandella Bautechnik,Unterhalt und Reparatur von Gebäuden,http://www.scabautech.ch/,tel:081 286 60 10,fax:081 286 60 11,"Güterstrasse 11 A
7000 Chur",https://www.google.com/maps/place/G%C3%BCterstrasse%2011%20A+7000+Chur,contact@scabautech.ch
