company_name,industry,website,telephone,fax,address,address_maplink,email
Cleanetta Trading GmbH,Bewertungen,,tel:056 633 64 22,fax:056 631 76 67,"Birkenweg 5
5615 Fahrwangen",https://www.google.com/maps/place/Birkenweg%205+5615+Fahrwangen,website not accessible
Karl Barth AG,Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,http://www.kbarth.ch/,tel:052 301 00 13,fax:052 301 00 19,"Unterdorf 27
8421 Dättlikon",https://www.google.com/maps/place/Unterdorf%2027+8421+D%C3%A4ttlikon,info@kbarth.ch
clevergie ag,Elektrizitätserzeugung,http://www.clevergie.ch/,tel:062 966 00 66,,"Möösli 307
4954 Wyssachen",https://www.google.com/maps/place/M%C3%B6%C3%B6sli%20307+4954+Wyssachen,info@clevergie.ch
Heeb + Enzler AG,Elektroinstallation,http://www.heeb-enzler.ch/,tel:044 910 02 12,fax:044 911 02 14,"Unt.Wiltisgasse 14
8700 Küsnacht ZH",https://www.google.com/maps/place/Unt.Wiltisgasse%2014+8700+K%C3%BCsnacht%20ZH,info@heeb-enzler.ch
"Kurt Muff,Uhrmacher",Bewertungen,http://www.muffuhren.ch/,tel:041 910 12 41,fax:041 910 47 22,"Hauptstrasse 10
6280 Hochdorf",https://www.google.com/maps/place/Hauptstrasse%2010+6280+Hochdorf,info@muffuhren.ch
OL10 AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",,,,"Eggenacherstrasse 19
4663 Aarburg",https://www.google.com/maps/place/Eggenacherstrasse%2019+4663+Aarburg,website not accessible
Rent a Box Schmuck und Uhren AG,Detailhandel mit Uhren und Schmuck,http://www.rent-a-box.ch/,tel:033 222 30 90,,"Bälliz 14
3600 Thun",https://www.google.com/maps/place/B%C3%A4lliz%2014+3600+Thun,johndoe@domain.com
Schöpfer AG,Vermittlung von Arbeitskräften,,tel:056 664 14 22,fax:056 664 00 59,"Luzernerstrasse 59
5630 Muri AG",https://www.google.com/maps/place/Luzernerstrasse%2059+5630+Muri%20AG,website not accessible
Rainer GmbH,Detailhandel mit Eisen- und Metallwaren,http://www.rainergmbh.ch/,tel:081 302 10 12,fax:081 302 59 17,"Industriestrasse 88
7310 Bad Ragaz",https://www.google.com/maps/place/Industriestrasse%2088+7310+Bad%20Ragaz,bad link
Hollywood Pub,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",,tel:056 633 14 63,,"Marktgasse 22
5620 Bremgarten AG",https://www.google.com/maps/place/Marktgasse%2022+5620+Bremgarten%20AG,website not accessible
Blueme Kari AG,Detailhandel mit Blumen und Pflanzen,http://www.bluemekari.ch/,tel:056 631 76 31,,"Chörenmattstrasse 2
8965 Berikon-Widen",https://www.google.com/maps/place/Ch%C3%B6renmattstrasse%202+8965+Berikon-Widen,seon@bluemekari.ch
Beat Lenherr AG,Reparatur und Lackieren von Carrosserien,http://www.lenherr-pneuhaus.ch/,tel:044 780 53 06,fax:044 780 35 37,"Einsiedlerstrasse 29b
8820 Wädenswil",https://www.google.com/maps/place/Einsiedlerstrasse%2029b+8820+W%C3%A4denswil,info@lenherr-pneuhaus.ch
Elektro-Bau AG Rothrist,Elektroinstallation,http://www.elektro-bau.ch/,tel:062 785 24 24,,"Helblingstrasse 4
4852 Rothrist",https://www.google.com/maps/place/Helblingstrasse%204+4852+Rothrist,info@elektro-bau.ch
Schweizer Wohn Investment AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.s-wi.ch/,tel:044 578 35 50,,"Löwenstrasse 11
8001 Zürich",https://www.google.com/maps/place/L%C3%B6wenstrasse%2011+8001+Z%C3%BCrich,info@s-wi.ch
Lauber Iwisa AG,Sanitär- und Heizungsinstallation,http://www.lauber-iwisa.ch/,tel:027 922 77 77,fax:027 922 77 78,"Kehrstrasse 14
3904 Naters",https://www.google.com/maps/place/Kehrstrasse%2014+3904+Naters,info@lauber-iwisa.ch
T-F GmbH,Architekturbüros,,tel:062 874 15 64,fax:062 874 18 27,"Leidikon/Hauptstrasse 19
5084 Rheinsulz",https://www.google.com/maps/place/Leidikon/Hauptstrasse%2019+5084+Rheinsulz,website not accessible
Garage Heinz Schlup,Detailhandel mit Motorenkraftstoffen (Tankstellen),,,,"Jurastrase 4
4704 Niederbipp",https://www.google.com/maps/place/Jurastrase%204+4704+Niederbipp,website not accessible
Symecom SA,Herstellung von Ausbauelementen aus Metall,,tel:091 696 10 60,,"via Roncaglia 15
6883 Novazzano",https://www.google.com/maps/place/via%20Roncaglia%2015+6883+Novazzano,website not accessible
STIWA Consulting AG,Vermietung und Verpachtung von eigenen oder geleasten Grundstücken,,tel:041 367 84 00,fax:041 367 84 93,"Sonnhaldenstrasse 54
6052 Hergiswil NW",https://www.google.com/maps/place/Sonnhaldenstrasse%2054+6052+Hergiswil%20NW,website not accessible
Malergeschäft Bertogg & Durmus GmbH,Malerei und Gipserei ohne ausgeprägten Schwerpunkt,http://www.malerbertogg.ch/,,,"Segelhalde 17
5405 Dättwil AG",https://www.google.com/maps/place/Segelhalde%2017+5405+D%C3%A4ttwil%20AG,info@malerbertogg.ch
OTRACOSA R.Gremli,Detailhandel mit Geschenkartikeln und Souvenirs,,tel:041 497 05 87,fax:041 497 05 87,"Allmend
6102 Malters",https://www.google.com/maps/place/Allmend+6102+Malters,website not accessible
PrimeEnergy Cleantech SA,Sonstige lngenieurbüros,http://www.bargella.ch/,tel:061 485 12 21,fax:061 485 12 23,"Ringstrasse 9
4123 Allschwil",https://www.google.com/maps/place/Ringstrasse%209+4123+Allschwil,igerard@bargella.ch
Manuel's,Grosshandel ohne ausgeprägten Schwerpunkt,,tel:071 534 08 95,,"Löwenstrasse 12
8001 Zürich",https://www.google.com/maps/place/L%C3%B6wenstrasse%2012+8001+Z%C3%BCrich,website not accessible
SanBa Events,Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.,http://www.sanba-events.com/,,,"Route du Suchet 46
1854 Leysin",https://www.google.com/maps/place/Route%20du%20Suchet%2046+1854+Leysin,contact@sanba-events.com
Automalerei Gasser AG,Reparatur und Lackieren von Carrosserien,,tel:031 747 88 28,,"Industriestrasse 71
3178 Bösingen",https://www.google.com/maps/place/Industriestrasse%2071+3178+B%C3%B6singen,website not accessible
Lotti Zimmerli,Coiffeursalons,,tel:034 402 18 80,fax:034 402 18 80,"Alleestrasse 6
3550 Langnau im Emmental",https://www.google.com/maps/place/Alleestrasse%206+3550+Langnau%20im%20Emmental,website not accessible
Perosa AG,Detailhandel mit Damenbekleidung,http://www.perosa.ch/,tel:062 823 90 11,fax:062 823 90 15,"Graben 18
5000 Aarau",https://www.google.com/maps/place/Graben%2018+5000+Aarau,info@perosa.ch
A.Meyer Scanservice,Erbringung von sonstigen druckbezogenen Dienstleistungen a. n. g.,,tel:079 688 40 00,,"Bodenhof 2
6403 Küssnacht am Rigi",https://www.google.com/maps/place/Bodenhof%202+6403+K%C3%BCssnacht%20am%20Rigi,website not accessible
SG Cleaning Senn,Hausmeisterdienste; Facility Management,http://www.sg-cleaning.ch/,tel:033 437 40 85,fax:033 437 40 93,"Militärstrasse 1a
3600 Thun",https://www.google.com/maps/place/Milit%C3%A4rstrasse%201a+3600+Thun,info@sg-cleaning.ch
"eisenkraft.ch, Inh. Jean Frei","Sonstiger Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf",http://www.eisenkraft.ch/,tel:044 361 19 20,,"Schaffhauserstrasse 27
8006 Zürich",https://www.google.com/maps/place/Schaffhauserstrasse%2027+8006+Z%C3%BCrich,
Bitrol GmbH,Gaserzeugung,,tel:071 860 02 33,,"Goldacherstrasse 8
9327 Tübach",https://www.google.com/maps/place/Goldacherstrasse%208+9327+T%C3%BCbach,website not accessible
Roffler Metallbau AG,Herstellung von Ausbauelementen aus Metall,,tel:081 422 21 34,,"Doggilochstrasse
7250 Klosters",https://www.google.com/maps/place/Doggilochstrasse+7250+Klosters,website not accessible
scherzinger databases,Programmierungstätigkeiten,http://www.scherzinger-databases.ch/,,,"Taan 11
9402 Mörschwil",https://www.google.com/maps/place/Taan%2011+9402+M%C3%B6rschwil,
Fischer AG Küchen u Haushaltgeräte,Detailhandel mit elektrischen Haushaltsgeräten,http://www.fischer-daspasst.ch/,tel:041 761 41 61,fax:041 760 42 92,"Bahnhof-Park 5
6340 Baar",https://www.google.com/maps/place/Bahnhof-Park%205+6340+Baar,info@fischer-daspasst.ch
Leo Haag AG,Verlegen von Fussboden,,tel:071 911 33 85,,"Rebenstrasse 9
9512 Rossrüti",https://www.google.com/maps/place/Rebenstrasse%209+9512+Rossr%C3%BCti,website not accessible
Schläpfer + Co,Bewertungen,http://www.happy-papier.ch/,tel:061 841 00 90,fax:061 841 05 62,"Mätteli 8
4312 Magden",https://www.google.com/maps/place/M%C3%A4tteli%208+4312+Magden,info@happy-papier.ch
SECCO e-rohbau GmbH,Sonstige Bauinstallation,,,,"Industriestrasse 22
4528 Zuchwil",https://www.google.com/maps/place/Industriestrasse%2022+4528+Zuchwil,website not accessible
Inspirazione Coiffeur,Coiffeursalons,,tel:071 912 25 49,,"Burgstallstrasse 5
9500 Wil SG",https://www.google.com/maps/place/Burgstallstrasse%205+9500+Wil%20SG,website not accessible
Rhykönig AG,Personenbeförderung in der See- und Küstenschifffahrt,http://www.rhykoenig.ch/,tel:061 711 0055,,"Reinacherstrasse 28
4053 Basel",https://www.google.com/maps/place/Reinacherstrasse%2028+4053+Basel,info@rhykoenig.ch
VC Dienstleistungen GmbH,Detailhandel mit Motorenkraftstoffen (Tankstellen),http://www.vc-group.ch/,tel:062 521 37 85,,"Landhausstrasse 15
4663 Aarburg",https://www.google.com/maps/place/Landhausstrasse%2015+4663+Aarburg,cevian@select.com
KSU A-Technik AG,Grosshandel mit sonstigen Maschinen und Ausrüstungen,http://www.ksu.ch/,tel:056 619 77 77,fax:056 619 77 11,"Lägernstrasse 11
5610 Wohlen AG",https://www.google.com/maps/place/L%C3%A4gernstrasse%2011+5610+Wohlen%20AG,website not accessible
Hotel Freihof,"Hotels, Gasthöfe und Pensionen mit Restaurant",http://www.seminarhotelaegerisee.ch/,tel:041 754 61 61,fax:041 754 61 71,"Zugerstrasse 44
6314 Unterägeri",https://www.google.com/maps/place/Zugerstrasse%2044+6314+Unter%C3%A4geri,?subject=SeminarHotel%20am%20Ägerisee&body=https
Feuerlöscher Service Center GmbH,Reparatur von Maschinen,http://feuerloescher4you.ch/,tel:034 423 60 93,,"Lyssachstrasse 101
3400 Burgdorf",https://www.google.com/maps/place/Lyssachstrasse%20101+3400+Burgdorf,
Züger Treuhand AG,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,,tel:055 450 51 00,fax:055 450 51 09,"Bahnhofplatz 6
8854 Siebnen",https://www.google.com/maps/place/Bahnhofplatz%20%206+8854+Siebnen,website not accessible
Beat Jordi AG,Elektroinstallation,,tel:031 931 12 22,fax:031 932 08 52,"Biderstrasse 48
3006 Bern",https://www.google.com/maps/place/Biderstrasse%2048+3006+Bern,website not accessible
Insta-rex SA,Sanitärinstallation,,tel:032 968 39 89,fax:032 968 38 30,"rue de la Charrière 13a
2300 La Chaux-de-Fonds",https://www.google.com/maps/place/rue%20de%20la%20Charri%C3%A8re%2013a+2300+La%20Chaux-de-Fonds,website not accessible
Abrimmo GmbH,Entwicklung von Bauprojekten,,tel:079 271 58 99,,"Kirchfeld 8
4614 Hägendorf",https://www.google.com/maps/place/Kirchfeld%208+4614+H%C3%A4gendorf,website not accessible
SD Silca SA,Textilreinigung,,tel:091 923 33 53,fax:091 923 33 77,"Via Cantonale 14
6805 Mezzovico",https://www.google.com/maps/place/Via%20Cantonale%2014+6805+Mezzovico,website not accessible
Nicolas Chevrier,Vorbereitende Baustellenarbeiten,,tel:027 203 63 18,fax:027 203 63 65,"Rue de Pranoé 21b
1967 Bramois",https://www.google.com/maps/place/Rue%20de%20Prano%C3%A9%2021b+1967+Bramois,website not accessible
Garage Adam Touring,Detailhandel mit Motorenkraftstoffen (Tankstellen),,,,"Rue Collet 8
1800 Vevey",https://www.google.com/maps/place/Rue%20Collet%208+1800+Vevey,website not accessible
E. Gutknecht GmbH,Grosshandel mit sonstigen Maschinen und Ausrüstungen,,tel:071 911 99 50,fax:071 911 99 51,"Industriestrasse 5
9552 Bronschhofen",https://www.google.com/maps/place/Industriestrasse%205+9552+Bronschhofen,website not accessible
Wüthrich Schreinerei AG,Schreinerarbeiten im Innenausbau,http://www.wuethrich-schreinerei.ch/,tel:052 376 13 83,fax:052 376 24 38,"Steigweg 1
8355 Aadorf",https://www.google.com/maps/place/Steigweg%201+8355+Aadorf,info@wuethrich-schreinerei.ch
SWS Medien AG PriMedia,Offsetdruck,http://www.swsmedien.ch/,tel:041 925 61 25,fax:041 925 61 11,"Buchenstrasse 3
6210 Sursee",https://www.google.com/maps/place/Buchenstrasse%203+6210+Sursee,info@swsmedien.ch
Ruedi Rüssel Tankstelle,Detailhandel mit Motorenkraftstoffen (Tankstellen),,,,"Talbachmatte 1
6147 Altbüron",https://www.google.com/maps/place/Talbachmatte%201+6147+Altb%C3%BCron,website not accessible
Karl Hegglin AG,Siebdruck,,tel:044 784 97 64,,"Erlenrain 6
8832 Wollerau",https://www.google.com/maps/place/Erlenrain%206+8832+Wollerau,website not accessible
Mumenthaler Immobilien AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",http://www.mumenthaler-transporte.com/,tel:062 216 8303,,"Aeschwuhrstrasse 35
4665 Oftringen",https://www.google.com/maps/place/Aeschwuhrstrasse%2035+4665+Oftringen,
Rütimann Wilhelm,Allgemeine Gebäudereinigung,,tel:041 280 61 44,fax:041 280 60 19,"Säntihof 7
6014 Luzern",https://www.google.com/maps/place/S%C3%A4ntihof%207+6014+Luzern,website not accessible
one-hair GmbH,Grosshandel mit kosmetischen Erzeugnissen und Körperpflegemitteln,http://www.one-hair.ch/,tel:071 245 72 63,fax:071 244 03 84,"Rehburgstrasse 3b
9000 St. Gallen",https://www.google.com/maps/place/Rehburgstrasse%203b+9000+St.%20Gallen,bad link
Albert Moser,"Herstellung von Holzwaren a. n. g, Kork-, Flecht- und Korbwaren (ohne Möbel)",http://www.drechslerei-moser.ch/,tel:071 777 12 38,fax:071 777 32 81,"Staatsstrasse 48
9445 Rebstein",https://www.google.com/maps/place/Staatsstrasse%2048+9445+Rebstein,bad link
Bernhard Frei AG,Bewertungen,,tel:071 727 09 30,,"Lugwiesstrasse 19
9443 Widnau",https://www.google.com/maps/place/Lugwiesstrasse%2019+9443+Widnau,website not accessible
Elke Plastic GmbH,Herstellung von Verpackungsmitteln aus Kunststoffen,http://www.elke-plastic.ch/,tel:052 742 90 80,fax:052 742 90 81,"Moskau 314b
8262 Ramsen",https://www.google.com/maps/place/Moskau%20314b+8262+Ramsen,info@elke-plastic.ch
E+F Carrosserie St. Gallen GmbH,lnstandhaltung und Reparatur von Automobilen,http://www.ef-carrosserie.ch/,tel:071 222 73 05,,"St. Georgen-Strasse 170c
9011 St. Gallen",https://www.google.com/maps/place/St.%20Georgen-Strasse%20170c+9011+St.%20Gallen,info@ef-carrosserie.ch
"Agel, AG für elektrische",Elektroinstallation,http://www.agel.ch/,tel:031 330 66 66,fax:031 330 66 67,"Rörswilstrasse 63
3065 Bolligen",https://www.google.com/maps/place/R%C3%B6rswilstrasse%2063+3065+Bolligen,agel-referenz-pneu-fahrni@2x.png
M. Bobnar AG,Artikel im Shop,http://www.bobnar.ch/,tel:062 216 12 12,,"Industriestrasse Ost 9
4614 Hägendorf",https://www.google.com/maps/place/Industriestrasse%20Ost%209+4614+H%C3%A4gendorf,
MZ Immobilien AG,Investmentgesellschaften,,tel:062 961 30 15,fax:062 961 69 41,"Wangenstrasse 46
3360 Herzogenbuchsee",https://www.google.com/maps/place/Wangenstrasse%2046+3360+Herzogenbuchsee,website not accessible
Rössli Dürrenast,Restaurants mit Beherbergungsangebot,http://www.roessli-duerrenast.ch/,tel:033 334 30 60,fax:033 334 30 61,"Frutigenstrasse 73
3604 Thun",https://www.google.com/maps/place/Frutigenstrasse%2073+3604+Thun,bad link
Benninger-Inox AG,Mechanische Werkstätten,,tel:032 397 00 00,fax:032 397 00 01,"Alchisgraben 1
2572 Sutz",https://www.google.com/maps/place/Alchisgraben%201+2572+Sutz,website not accessible
Restaurant de la maison du Gruyère,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",,tel:026 921 84 00,fax:026 921 84 01,"Place de la Gare 3
1663 Pringy",https://www.google.com/maps/place/Place%20de%20la%20Gare%203+1663+Pringy,website not accessible
Pierre Hutmacher,lnstandhaltung und Reparatur von Automobilen,,tel:032 313 10 59,,"Rte de Neuchâtel
3236 Gampelen",https://www.google.com/maps/place/Rte%20de%20Neuch%C3%A2tel+3236+Gampelen,website not accessible
WoMen hairstyle,Coiffeursalons,,tel:033 971 61 61,,"Kirchgasse 16
3860 Meiringen",https://www.google.com/maps/place/Kirchgasse%2016+3860+Meiringen,website not accessible
Riedo clima SA Bulle,"lnstallation von Heizungs-, Lüftungs- und Klimaanlagen",,tel:026 919 67 27,fax:026 919 67 29,"rte du Verdel 8
1630 Bulle 2",https://www.google.com/maps/place/rte%20du%20Verdel%208+1630+Bulle%202,website not accessible
Gundeldinger Zeitung AG,Verlegen von Zeitungen,http://www.gundeldingen.ch/,tel:061 271 99 66,fax:061 271 99 67,"Reichensteinerstrasse 10
4053 Basel",https://www.google.com/maps/place/Reichensteinerstrasse%2010+4053+Basel,
BM Office-Communication AG,Erbringung von sonstigen Dienstleistungen a. n. g.,http://www.bmoffice.ch/,tel:044 744 54 84,fax:044 744 54 85,"Frauenfelderstrasse 55
9545 Wängi",https://www.google.com/maps/place/Frauenfelderstrasse%2055+9545+W%C3%A4ngi,info@bmoffice.ch
Peterka Siebdruck AG,Siebdruck,http://www.siebdruck.org/,tel:055 220 88 44,,"Spinnereistrasse 29
8640 Rapperswil SG",https://www.google.com/maps/place/Spinnereistrasse%2029+8640+Rapperswil%20SG,peterka@siebdruck.org
Restaurant Stadtgarten,Artikel im Shop,http://www.stadtgarten-wangen.ch/,,,"Städtli 12
3380 Wangen an der Aare",https://www.google.com/maps/place/St%C3%A4dtli%2012+3380+Wangen%20an%20der%20Aare,
allreon AG,Aktivitäten der Generalunternehmen im Baugewerbe,http://www.allreon.ch/,tel:041 630 11 22,fax:041 630 11 21,"Bruchstrasse 33
6003 Luzern",https://www.google.com/maps/place/Bruchstrasse%2033+6003+Luzern,info@allreon.ch
Werder Schreinerei AG,Schreinerarbeiten im Innenausbau,http://www.werder.pro/,tel:052 369 50 00,fax:052 369 50 09,"Brühlstrasse 7
9545 Wängi",https://www.google.com/maps/place/Br%C3%BChlstrasse%207+9545+W%C3%A4ngi,info@werder.swiss
"Verlag aktuell ""Aargauer Anzeiger""",Verlegen von Zeitungen,http://www.verlagaktuell.ch/,tel:041 448 20 20,fax:041 448 23 37,"Luzernstrasse 8
6274 Eschenbach LU",https://www.google.com/maps/place/Luzernstrasse%208+6274+Eschenbach%20LU,bad link
Resicommerce Sagl,"Grosshandel mit Getreide, Rohtabak, Saatgut und Futtermitteln",,tel:091 820 10 50,,"Via Serrai 2
6592 S. Antonino",https://www.google.com/maps/place/Via%20Serrai%202+6592+S.%20Antonino,website not accessible
Alpinice AG,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,,tel:033 854 40 40,,"Sand
3818 Grindelwald",https://www.google.com/maps/place/Sand+3818+Grindelwald,website not accessible
Mécapièces Jean-Marie Stubi,Detailhandel mit Automobilteilen und -zubehör,,tel:032 857 18 65,fax:032 857 12 42,"rue des Tilleuls 1
2206 Les Geneveys-sur-Coffrane",https://www.google.com/maps/place/rue%20des%20Tilleuls%201+2206+Les%20Geneveys-sur-Coffrane,website not accessible
GRG Ingenieure AG,Bau-Ingenieurbüros,http://www.grgingenieure.ch/,tel:061 985 89 89,fax:061 985 89 88,"Keltenweg 31
4460 Gelterkinden",https://www.google.com/maps/place/Keltenweg%2031+4460+Gelterkinden,info@grgingenieure.ch
Stora AG Ost,Test- und Suchbohrung,http://www.stora-gmbh.ch/,tel:071 951 03 04,fax:071 951 03 52,"Dammhaldenstrasse 2
9240 Uzwil",https://www.google.com/maps/place/Dammhaldenstrasse%202+9240+Uzwil,bsehovac@gmail.com
Alberto Fetz Sporthandel,Artikel im Shop,,tel:044 382 02 20,fax:044 382 02 82,"Trichtenhausenstrasse 24
8053 Zürich",https://www.google.com/maps/place/Trichtenhausenstrasse%2024+8053+Z%C3%BCrich,website not accessible
bp Tankstelle Flawil,Detailhandel mit Motorenkraftstoffen (Tankstellen),,,,"Wilerstrasse 247-249
9230 Flawil",https://www.google.com/maps/place/Wilerstrasse%20247-249+9230+Flawil,website not accessible
Sonderegger Wellness AG,"Holzbau, Zimmerei",http://www.fs-montagen.ch/,tel:052 721 54 22,fax:052 721 54 24,"St. Gallerstrasse 8
9548 Matzingen",https://www.google.com/maps/place/St.%20Gallerstrasse%208+9548+Matzingen,
