company_name,industry,website,telephone,fax,address,address_maplink,email
Sajade AG,"Sonstiger Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf",http://www.sajade.ch/,tel:061 692 28 19,,"Lehenmattstr. 137
4052 Basel",https://www.google.com/maps/place/Lehenmattstr.%20137+4052+Basel,
Gasthof zum Schütz,Bewertungen,,tel:031 781 01 17,,"Bernstrasse 5
3629 Oppligen",https://www.google.com/maps/place/Bernstrasse%205+3629+Oppligen,website not accessible
HW-Handel Inh. Wirthlin,"Sonstiger Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf",,,,"Gewerbepark Bata
4313 Möhlin",https://www.google.com/maps/place/Gewerbepark%20Bata+4313+M%C3%B6hlin,website not accessible
Torrent-Bahnen Leukerbad-Albinen AG,Bewertungen,http://www.torrent.ch/,tel:027 472 81 10,fax:027 472 81 16,"Bergstation Rinderhütte
3955 Albinen",https://www.google.com/maps/place/Bergstation%20Rinderh%C3%BCtte+3955+Albinen,max.muster@gmail.ch
Büro Köbeli GmbH,Detailhandel mit Möbeln,http://www.buero-koebeli.ch/,tel:062 825 01 30,fax:062 825 01 35,"Korbackerweg 19
5502 Hunzenschwil",https://www.google.com/maps/place/Korbackerweg%2019+5502+Hunzenschwil,info@buero-koebeli.ch
Beat Schnell,Malerei,,tel:052 643 67 16,fax:052 643 67 88,"St.Peter-Strasse 19
8200 Schaffhausen",https://www.google.com/maps/place/St.Peter-Strasse%2019+8200+Schaffhausen,website not accessible
Wilcowa AG Baumaschinen,Inserate,https://wilcowa.ch/,tel:043 388 70 60,fax:043 388 70 66,"Riedthofstrasse 172
8105 Regensdorf",https://www.google.com/maps/place/Riedthofstrasse%20172+8105+Regensdorf,info@wilcowa.ch
Reto Brotzer,Unternehmensberatung,,,,"Guglern 25
6018 Buttisholz",https://www.google.com/maps/place/Guglern%2025+6018+Buttisholz,website not accessible
KA BOOM Kommunikationsagentur AG,Werbeagenturen,http://www.kaboom.ch/,tel:071 225 11 11,,"Industriestrasse 149
9200 Gossau SG",https://www.google.com/maps/place/Industriestrasse%20149+9200+Gossau%20SG,
Laubi Innovent AG,Sanitär- und Heizungsinstallation,http://www.laubi-innovent.ch/,tel:061 426 96 60,,"Oberwilerstrasse 17
4102 Binningen",https://www.google.com/maps/place/Oberwilerstrasse%2017+4102+Binningen,
Landgasthaus Löwen,"Restaurants, Imbissstuben, Tea-Rooms und Gelaterias",http://www.loewenelgg.ch/,tel:052 364 10 22,,"Aadorferstrasse 3
8353 Elgg",https://www.google.com/maps/place/Aadorferstrasse%203+8353+Elgg,website not accessible
Siegenthaler AG Fenster,"Bauschreinerei, Fenster und Türen",http://www.siegenthalerag.ch/,tel:056 284 14 23,fax:056 284 52 40,"Hinterdorfstrasse 5
5233 Stilli",https://www.google.com/maps/place/Hinterdorfstrasse%205+5233+Stilli,
Weisskopf Treuhand,Wirtschaftsprüfung und Steuerberatung; Buchführung; Treuhandgesellschaften,,tel:061 281 19 39,fax:061 281 19 39,"Rümelinbachweg 9
4054 Basel",https://www.google.com/maps/place/R%C3%BCmelinbachweg%209+4054+Basel,website not accessible
artecomm sàrl,"Herstellung von Filmen, Videofilmen und Fernsehprogrammen",,,,"Chemin des Merles 15
1588 Cudrefin",https://www.google.com/maps/place/Chemin%20des%20Merles%2015+1588+Cudrefin,website not accessible
Baumann Kernbohrungen GmbH,Test- und Suchbohrung,http://www.baumann-kernbohrungen.ch/,tel:062 723 74 75,fax:062 723 74 76,"Schlattweg 9
5040 Schöftland",https://www.google.com/maps/place/Schlattweg%209+5040+Sch%C3%B6ftland,baumann@baumann-kernbohrungen.ch
Garage Burgseeli AG,lnstandhaltung und Reparatur von Automobilen,,tel:033 822 10 43,fax:033 823 33 31,"Hauptstrasse 990b
3805 Goldswil b. Interlaken",https://www.google.com/maps/place/Hauptstrasse%20990b+3805+Goldswil%20b.%20Interlaken,website not accessible
AZ Armierungen AG,Sonstiger spezialisierter Hoch- und Tiefbau a. n. g.,http://www.az-armierungen.ch/,tel:071 310 24 80,fax:071 310 24 81,"Letzistrasse 25
9015 St. Gallen",https://www.google.com/maps/place/Letzistrasse%2025+9015+St.%20Gallen,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com
Stiftung Kinderdorf Pestalozzi,Wohnheime für Kinder und Jugendliche,http://www.pestalozzi.ch/,tel:071 343 73 73,fax:071 344 42 48,"Kinderdorfstrasse 20
9043 Trogen",https://www.google.com/maps/place/Kinderdorfstrasse%2020+9043+Trogen,
Wegmüller Automobile AG,lnstandhaltung und Reparatur von Automobilen,http://www.garagewegmueller.ch/,tel:052 672 85 55,fax:052 672 16 70,"Zollstrasse 86a
8212 Neuhausen am Rheinfall",https://www.google.com/maps/place/Zollstrasse%2086a+8212+Neuhausen%20am%20Rheinfall,urs.wegmueller@wegmuellerag.ch
