company_name,industry,website,telephone,fax,address,address_maplink,email_all
Modehaus Peter,Detailhandel mit Herrenbekleidung,,tel:041 970 17 57,fax:041 970 07 57,"Hauptgasse 36
6130 Willisau",https://www.google.com/maps/place/Hauptgasse%2036+6130+Willisau,website not accessible
VB ORGANISATION Sàrl,Offsetdruck,http://www.imprimerievb.ch/,tel:079 205 44 53,,"chemin St-Hubert 32
1950 Sion",https://www.google.com/maps/place/chemin%20St-Hubert%2032+1950+Sion,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Heinz Stucki,"Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten",,tel:031 781 05 03,fax:031 781 05 03,"Hubmatt
3116 Noflen BE",https://www.google.com/maps/place/Hubmatt+3116+Noflen%20BE,website not accessible
Heizplan HPA AG,Sanitär- und Heizungsinstallation,http://www.heizplan.ch/,tel:081 750 34 50,fax:081 750 34 59,"Karmaad 36
9473 Gams",https://www.google.com/maps/place/Karmaad%2036+9473+Gams,kontakt@heizplan.ch
Hoppler Tiefbohrungen GmbH,Test- und Suchbohrung,http://www.hoppler-gmbh.ch/,tel:056 634 40 46,fax:056 634 40 75,"Allmendstrasse 1
5621 Zufikon",https://www.google.com/maps/place/Allmendstrasse%201+5621+Zufikon,info@hoppler-gmbh.ch
Heinz Bleisch,Architekturbüros,,,fax:044 720 24 76,"Berghaldenstrasse 40
8800 Thalwil",https://www.google.com/maps/place/Berghaldenstrasse%2040+8800+Thalwil,website not accessible
Fischer Immobilien AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",http://www.fischer-immobilien.ch/,tel:071 667 01 01,fax:071 667 01 06,"Rickstrasse 10
8274 Tägerwilen",https://www.google.com/maps/place/Rickstrasse%2010+8274+T%C3%A4gerwilen,bad link
Otto Reinhard Transport GmbH,Güterbeförderung im Strassenverkehr,,tel:034 435 11 34,fax:034 435 11 38,"Bannholz
3416 Affoltern im Emmental",https://www.google.com/maps/place/Bannholz+3416+Affoltern%20im%20Emmental,website not accessible
Roger Loosli AG,"Herstellung von Schmuck, Gold- und Silberschmiedwaren a. n. g. (ohne Fantasieschmuck)",http://www.looslischmuck.ch/,tel:056 426 44 38,fax:056 426 44 72,"Landstrasse 84
5430 Wettingen",https://www.google.com/maps/place/Landstrasse%20%2084+5430+Wettingen,website not accessible
Swiss Frigo AG,"lnstallation von Heizungs-, Lüftungs- und Klimaanlagen",,tel:062 396 10 16,fax:062 396 29 47,"Rainackerstrasse 2
4625 Oberbuchsiten",https://www.google.com/maps/place/Rainackerstrasse%202+4625+Oberbuchsiten,website not accessible
