company_name,industry,website,telephone,fax,address,address_maplink,email_all
Rhomberg Schmuck AG,Detailhandel mit Uhren und Schmuck,http://www.schmuck.ch/,tel:071 310 15 80,,"Zürcher-Strasse
9015 St. Gallen",https://www.google.com/maps/place/Z%C3%BCrcher-Strasse+9015+St.%20Gallen,website not accessible
GanzImmo AG,"Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte",http://www.ganzimmo.ch/,tel:052 213 56 65,fax:052 213 31 74,"Schaffhauserstrasse 79
8401 Winterthur",https://www.google.com/maps/place/Schaffhauserstrasse%2079+8401+Winterthur,website not accessible
Coiffure Daniel Moll,Artikel im Shop,http://www.coiffeur-kriens.com/,tel:041 310 05 41,,"Amlehnstrasse 54
6010 Kriens",https://www.google.com/maps/place/Amlehnstrasse%2054+6010+Kriens,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Rondell AG,"Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen",,tel:041 320 53 73,,"Weinhalde 12
6010 Kriens",https://www.google.com/maps/place/Weinhalde%20%2012+6010+Kriens,website not accessible
Rémy Bühler Malergeschäft Rothrist,Malerei,http://www.maler-buehler.ch/,tel:062 794 44 64,,"Pfaffernweg 7
4852 Rothrist",https://www.google.com/maps/place/Pfaffernweg%207+4852+Rothrist,cid_image001_png@01D443CD.png
Fussballclub Ebikon,Sportvereine,,tel:041 226 28 60,,6030 Ebikon,https://www.google.com/maps/place/undefined+6030+Ebikon,website not accessible
Garage Cristallina SA,Artikel im Shop,http://www.cristallina.ch/,tel:091 791 13 20,fax:091 791 51 19,"Via Circonvallazione 3
6612 Ascona",https://www.google.com/maps/place/Via%20Circonvallazione%203+6612+Ascona,info@cristallina.ch
BEE Generalunternehmung AG,Aktivitäten der Generalunternehmen im Baugewerbe,http://www.bee-gu.ch/,tel:031 790 23 23,fax:031 790 23 20,"Emmentalstrasse 11
3510 Konolfingen",https://www.google.com/maps/place/Emmentalstrasse%2011+3510+Konolfingen,website not accessible
K. K. Strittmatter,Inserate,https://www.konrads.villas/,tel:079 787 57 21,,"Im Moos 1
6340 Baar",https://www.google.com/maps/place/Im%20Moos%201+6340+Baar,kst@konrads.villas
Rohrer-Marti AG,"Grosshandel mit Bergwerks-, Bau- und Baustoffmaschinen",http://www.rohrer-marti.ch/,tel:031 910 30 40,fax:031 910 30 41,"Industriestrasse 53
3052 Zollikofen",https://www.google.com/maps/place/Industriestrasse%2053+3052+Zollikofen,pugin@rohrer-marti.ch
MoBau Partner AG,Grosshandel mit Baustoffen,http://www.mobau.ch/,tel:041 268 81 37,fax:041 268 81 38,"Schachenstrasse 4b
6020 Emmenbrücke",https://www.google.com/maps/place/Schachenstrasse%204b+6020+Emmenbr%C3%BCcke,website not accessible
Knupp Bau AG,Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt,http://www.knupp.ch/,tel:041 462 71 20,fax:041 462 71 21,"Kirchstrasse 6
6205 Eich",https://www.google.com/maps/place/Kirchstrasse%206+6205+Eich,info@knupp.ch
Clément Roger + Co.,Güterbeförderung im Strassenverkehr,,tel:062 961 28 65,fax:062 961 78 26,"Gewerbestrasse 1
4556 Aeschi SO",https://www.google.com/maps/place/Gewerbestrasse%201+4556+Aeschi%20SO,website not accessible
